   1|   72|    male|         single_woman|   nat3|    rel3|    eth6|               34-43|         male|                  single_woman/single_parent_mother|        mixed|   dont mind|       same|      dont mind|  dont mind|            dont mind|         1-4|
 147|   62|  female| single_parent_mother|   nat1|    rel3|    eth1|   18-25/26-33/34-43|       female|                                         single_man|    dont mind|   dont mind|  dont mind|             L2|  dont mind|    1/5/2021-1/5/2022|         2-4|
 148|   68|  female|             extended|   nat5|    rel4|    eth1|         18-25/26-33|         male|                               single_parent_mother|        mixed|   dont mind|       same|       L1/L2/L3|        yes|    1/1/2021-1/7/2022|         2-3|
 149|   69|   other|              nuclear|   nat2|    rel1|    eth6|              65-120|        other|                  single_woman/single_parent_mother|    dont mind|       mixed|  dont mind|       L4/L2/L7|  dont mind|    1/5/2021-1/5/2022|         2-7|
 150|   61|  female| single_parent_mother|   nat5|    rel7|    eth4|         18-25/26-33|         male|                  single_woman/single_parent_mother|         same|   dont mind|  dont mind|       L7/L6/L5|         no|   1/9/2021-1/12/2021|         1-2|
 151|   55|  female|             extended|   nat2|    rel7|    eth1|               51-65|    dont mind|                               single_parent_mother|    dont mind|        same|      mixed|          L3/L5|  dont mind|    1/1/2021-1/7/2021|         2-7|
 152|   19|   other|           single_man|   nat3|    rel1|    eth5|           dont mind|        other|                  single_woman/single_parent_mother|    dont mind|        same|  dont mind|             L2|         no|    1/3/2021-1/7/2022|         1-3|
 153|   63|    male|              nuclear|   nat3|    rel1|    eth4|        51-65/65-120|         male|                                         single_man|         same|        same|       same|       L7/L6/L5|         no|   1/9/2021-1/12/2021|         3-5|
 154|   42|  female|           single_man|   nat4|    rel5|    eth5|           dont mind|        other|                                            nuclear|         same|   dont mind|  dont mind|       L1/L2/L3|  dont mind|    1/3/2021-1/7/2022|           2|
 155|   63|   other|             extended|   nat5|    rel7|    eth2|               34-43|       female|                  single_woman/single_parent_mother|        mixed|        same|      mixed|          L3/L5|  dont mind|  23/4/2020-17/5/2021|         2-7|
 156|   23|  female| single_parent_mother|   nat4|    rel1|    eth5|              65-120|         male|                  single_woman/single_parent_mother|        mixed|        same|       same|          L3/L5|         no|            dont mind|         1-3|
 157|   26|  female|           single_man|   nat2|    rel3|    eth2|         18-25/26-33|         male|                    single_parent_father/single_man|         same|   dont mind|       same|       L4/L2/L7|        yes|   1/9/2021-1/12/2021|           1|
 158|   56|   other| single_parent_father|   nat2|    rel7|    eth2|               51-65|         male|                                         single_man|    dont mind|   dont mind|       same|          L3/L5|         no|            dont mind|         2-7|
 159|   59|   other|           single_man|   nat6|    rel3|    eth6|               44-50|        other|                                         single_man|        mixed|       mixed|  dont mind|          L3/L6|        yes|    1/5/2021-1/5/2022|           4|
 160|   65|    male|         single_woman|   nat3|    rel5|    eth4|         18-25/26-33|         male|                                            nuclear|    dont mind|        same|      mixed|       L3/L6/L7|  dont mind|    1/1/2021-1/7/2021|         2-4|
 161|   63|   other|             extended|   nat5|    rel2|    eth2|               34-43|    dont mind|                                          dont mind|        mixed|       mixed|  dont mind|          L1/L7|         no|   1/9/2021-1/12/2021|         1-4|
 162|   23|    male|           single_man|   nat1|    rel1|    eth1|               44-50|    dont mind|                                   extended/nuclear|    dont mind|   dont mind|      mixed|      dont mind|        yes|   1/9/2021-1/12/2021|         2-4|
 163|   41|    male|              nuclear|   nat1|    rel6|    eth4|               44-50|        other|                               single_parent_mother|    dont mind|       mixed|      mixed|             L3|  dont mind|            dont mind|           4|
 164|   24|   other| single_parent_mother|   nat1|    rel1|    eth5|        51-65/65-120|       female|                    single_parent_father/single_man|    dont mind|       mixed|  dont mind|       L7/L6/L5|         no|            dont mind|         1-3|
 165|   29|    male|         single_woman|   nat1|    rel4|    eth3|           dont mind|    dont mind|                               single_parent_father|         same|       mixed|       same|      dont mind|         no|            dont mind|           3|
 166|   25|   other|           single_man|   nat5|    rel6|    eth7|         18-25/26-33|         male|                    single_parent_father/single_man|        mixed|   dont mind|      mixed|       L4/L2/L7|        yes|   1/9/2021-1/12/2021|           2|
 167|   70|  female| single_parent_mother|   nat7|    rel1|    eth5|        51-65/65-120|         male|                               single_parent_father|        mixed|        same|       same|       L3/L6/L7|  dont mind|   15/3/2021-1/4/2022|         3-5|
 168|   26|    male| single_parent_father|   nat1|    rel5|    eth5|               18-25|    dont mind|                                            nuclear|    dont mind|       mixed|  dont mind|          L2/L3|        yes|   1/9/2021-1/12/2021|           1|
 169|   47|   other|             extended|   nat7|    rel3|    eth7|               26-33|        other|                               single_parent_father|        mixed|        same|  dont mind|       L7/L6/L5|  dont mind|   1/9/2021-1/12/2021|         2-7|
 170|   56|    male|             extended|   nat5|    rel1|    eth4|               51-65|         male|                                           extended|        mixed|   dont mind|      mixed|             L5|        yes|   3/7/2021-12/2/2022|         3-5|
 171|   27|    male|         single_woman|   nat4|    rel5|    eth1|               51-65|         male|                                           extended|        mixed|        same|       same|       L7/L6/L5|        yes|    1/1/2021-1/4/2021|         2-7|
 172|   44|  female|             extended|   nat4|    rel3|    eth6|               26-33|         male|                                          dont mind|        mixed|   dont mind|  dont mind|       L4/L2/L7|         no|   1/9/2021-1/12/2021|         1-4|
 173|   64|  female|         single_woman|   nat3|    rel3|    eth4|               18-25|    dont mind|                                            nuclear|         same|        same|  dont mind|             L2|  dont mind|    1/5/2021-1/5/2022|         1-4|
 174|   29|   other|         single_woman|   nat4|    rel6|    eth3|               26-33|       female|                                           extended|         same|       mixed|      mixed|          L2/L3|         no|   3/7/2021-12/2/2022|         1-3|
 175|   32|    male|              nuclear|   nat2|    rel7|    eth2|         18-25/26-33|        other|                  single_woman/single_parent_mother|    dont mind|        same|       same|          L2/L3|         no|   1/9/2021-1/12/2021|         1-2|
 176|   38|    male| single_parent_mother|   nat1|    rel5|    eth7|        51-65/65-120|       female|                                   extended/nuclear|        mixed|   dont mind|       same|          L2/L3|         no|    1/1/2021-1/4/2021|         1-4|
 177|   28|   other|              nuclear|   nat6|    rel2|    eth3|               34-43|       female|                                           extended|    dont mind|        same|  dont mind|          L3/L5|  dont mind|    1/3/2021-1/7/2022|         2-4|
 178|   43|  female| single_parent_mother|   nat2|    rel5|    eth1|   18-25/26-33/34-43|        other|                    single_parent_father/single_man|    dont mind|   dont mind|      mixed|          L3/L5|  dont mind|  23/4/2020-17/5/2021|         1-2|
 179|   55|   other|         single_woman|   nat2|    rel5|    eth5|               51-65|        other|                    single_parent_father/single_man|         same|   dont mind|      mixed|          L2/L3|         no|    1/1/2021-1/7/2021|         2-3|
 180|   25|  female|              nuclear|   nat5|    rel4|    eth1|              65-120|       female|                                       single_woman|    dont mind|        same|       same|             L3|        yes|  23/4/2020-17/5/2021|         1-4|
 181|   66|    male|           single_man|   nat3|    rel7|    eth2|           dont mind|    dont mind|                    single_parent_father/single_man|         same|        same|       same|             L4|  dont mind|    1/1/2021-1/7/2021|           5|
 182|   74|  female|              nuclear|   nat2|    rel6|    eth2|         18-25/26-33|        other| single_parent_mother/single_parent_father/extended|    dont mind|        same|       same|             L7|         no|    1/1/2021-1/7/2022|         1-5|
 183|   19|   other|             extended|   nat7|    rel6|    eth2|               26-33|        other|                               single_parent_father|         same|       mixed|  dont mind|          L2/L3|        yes|  23/4/2020-17/5/2021|         1-5|
 184|   67|    male|              nuclear|   nat1|    rel2|    eth7|               34-43|    dont mind|                                          dont mind|         same|       mixed|      mixed|             L2|         no|    1/1/2021-1/7/2022|         2-4|
 185|   21|  female|         single_woman|   nat4|    rel7|    eth7|              65-120|    dont mind|                                   extended/nuclear|         same|   dont mind|      mixed|             L6|        yes|   3/7/2021-12/2/2022|         2-4|
 186|   70|  female|              nuclear|   nat5|    rel1|    eth7|           dont mind|       female|                                   extended/nuclear|         same|        same|       same|       L3/L6/L7|         no|   15/3/2021-1/4/2022|           4|
 187|   41|  female|         single_woman|   nat6|    rel4|    eth5|               51-65|        other|                                         single_man|    dont mind|        same|      mixed|          L3/L6|  dont mind|            dont mind|         3-4|
 188|   33|  female| single_parent_father|   nat5|    rel3|    eth7|               34-43|         male|                               single_parent_father|         same|        same|  dont mind|       L4/L2/L7|  dont mind|   3/7/2021-12/2/2022|           5|
 189|   37|  female|              nuclear|   nat7|    rel6|    eth2|               34-43|       female|                                          dont mind|        mixed|   dont mind|       same|             L3|         no|   3/7/2021-12/2/2022|           1|
 190|   40|  female| single_parent_mother|   nat6|    rel2|    eth5|               44-50|        other|                                       single_woman|    dont mind|       mixed|  dont mind|       L7/L6/L5|  dont mind|    1/5/2021-1/5/2022|         3-5|
 191|   57|  female| single_parent_mother|   nat7|    rel4|    eth3|               34-43|        other|                               single_parent_mother|    dont mind|   dont mind|      mixed|       L4/L2/L7|        yes|    1/5/2021-1/5/2022|         1-4|
 192|   45|   other| single_parent_father|   nat4|    rel6|    eth3|               51-65|    dont mind|                                   extended/nuclear|         same|        same|       same|             L6|  dont mind|    1/5/2021-1/5/2022|           5|
 193|   33|    male| single_parent_father|   nat7|    rel2|    eth7|               44-50|    dont mind|                               single_parent_father|         same|        same|       same|      dont mind|  dont mind|    1/5/2021-1/5/2022|         1-3|
 194|   44|    male|             extended|   nat7|    rel6|    eth6|               51-65|         male| single_parent_mother/single_parent_father/extended|         same|   dont mind|  dont mind|             L3|         no|   3/7/2021-12/2/2022|           5|
 195|   24|  female| single_parent_father|   nat5|    rel2|    eth4|               18-25|    dont mind|                                            nuclear|         same|   dont mind|       same|          L2/L3|  dont mind|   3/7/2021-12/2/2022|           1|
 196|   22|    male|             extended|   nat2|    rel7|    eth5|               26-33|        other|                                           extended|    dont mind|       mixed|  dont mind|             L1|  dont mind|            dont mind|         2-7|
 197|   68|   other| single_parent_father|   nat4|    rel4|    eth7|               26-33|        other|                                   extended/nuclear|    dont mind|       mixed|      mixed|      dont mind|         no|   3/7/2021-12/2/2022|         3-5|
 198|   28|    male| single_parent_father|   nat3|    rel5|    eth4|               51-65|    dont mind|                                           extended|         same|        same|      mixed|             L1|  dont mind|   15/3/2021-1/4/2022|         3-5|
 199|   36|    male| single_parent_father|   nat5|    rel1|    eth2|               26-33|         male|                                          dont mind|         same|        same|  dont mind|       L1/L2/L3|  dont mind|    1/3/2021-1/7/2022|         1-2|
 200|   33|    male|              nuclear|   nat3|    rel3|    eth1|               26-33|    dont mind|                               single_parent_father|    dont mind|       mixed|       same|             L1|  dont mind|  23/4/2020-17/5/2021|         1-2|
